BF_Name,BF_Acreage,x2,y2
Oneida Mill Lofts,6.84,1880607.38618322,845189.769785732
Atando Ave,4,1457693.57682881,553842.781614721
Davidson Depot St (RN),4.74,1449092.56319097,642373.392938972
Corning-AVX,32,2117265.26358831,758129.418644309
C & E Manufacturing,5.71,1146761.03990246,848006.0049669
Dorothea Dix Park,307.98,2102183.82098222,734890.170175388
Blackwell Street (RN),1.77,2028907.16373006,816773.692759722
Water Street Deck,1.23,2317370.24953239,179306.747879893
Allied Chemical (RN),421.65,1987161.3643478,681072.654451057
Regal Manufacturing II,2.64,1307562.73601498,735444.106731564
Kesler Mill,13.53,1566932.28256355,699944.233177647
Burnsville Hosiery Mill,3.62,1019409.51310997,803243.040031061
Point Five Goldsboro,1.27,2314407.97232047,593055.613950059
HD Supply,3.5,1445757.78147472,539277.974458307
North Point Police District One Office,1.64,1623124.93953498,876399.270030648
Pepsi Bottling,5.2,1441987.50095755,532926.619378895
Stork Rotary RFRU (RN),6.9,1453646.21156397,559888.457515478
Nine One Nine Capital Blvd,0.76,2106105.94634005,744138.671691477
Front Street Village,5.17,2711746.11825939,358553.64988406
North Davidson,3.79,1458239.59214097,547749.071361229
Polylok,30,2417863.68469997,790532.488024399
1200 S. Graham,0.73,1445263.88088772,541177.939162314
319 South West,0.28,2105070.71743938,737759.994160146
Tillman Track,7.46,2705077.43343405,661466.005672306
Gateway Plaza,6.77,2114495.22286855,748289.684714898
Radio Shack,10.33,979785.978512049,698083.140115067
300 N. College,0.93,1450813.80154638,542934.023576647
Polo Enterprises,0.16,2586479.04005389,499201.141226307
Battleship Road (RN),19,2316693.26072888,177650.908015728
Radio Center Property,4.37,1441060.91619655,531244.89373973
Stevens Towing (RN),74.38,2674843.0972493,901637.962991476
South Blvd I,1.27,1439120.76128422,522690.830467314
Duplin BioEnergy,15,2341952.96808338,464756.519826979
Phil Mechanic Property,0.16,939748.955895975,687600.723415896
Blacknall Church,0.62,2023503.18044356,822095.764792725
Glenwood Land,2.95,2104365.54955839,738845.87420623
Matheson Avenue,15.5,1458652.92497572,549641.268692315
